title,thumbnail,tags,release_date,review_score,reviewed_by,price_currency,original_price,selling_price
Cyberpunk 2077,https://cdn.akamai.steamstatic.com/steam/apps/1091500/header.jpg?t=1695308476,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer']",2020-00-10,Very Positive,563751,$,59.99,35.99
Resident Evil 4,https://cdn.akamai.steamstatic.com/steam/apps/2050650/header_alt_assets_0.jpg?t=1695311474,"['Action', 'Horror', 'Survival Horror', 'Third-Person Shooter', 'Zombies']",2023-00-24,Overwhelmingly Positive,58585,$,59.99,39.59
It Takes Two,https://cdn.akamai.steamstatic.com/steam/apps/1426210/header.jpg?t=1691006466,"['Co-op', 'Multiplayer', 'Split Screen', 'Local Co-Op', 'Puzzle']",2021-00-26,Overwhelmingly Positive,115815,$,39.99,13.99
MONSTER HUNTER RISE,https://cdn.akamai.steamstatic.com/steam/apps/1446780/header.jpg?t=1687140511,"['Action', 'RPG', 'Online Co-Op', 'Multiplayer', 'Hunting']",2022-00-12,Very Positive,50270,$,39.99,15.99
Monster Hunter: World,https://cdn.akamai.steamstatic.com/steam/apps/582010/header.jpg?t=1695415019,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG']",2018-00-09,Very Positive,234032,$,29.99,14.99
Sea of Thieves 2023 Edition,https://cdn.akamai.steamstatic.com/steam/apps/1172620/header.jpg?t=1689874808,"['Multiplayer', 'Adventure', 'Open World', 'Pirates', 'Co-op']",2020-00-03,Very Positive,254585,$,39.99,19.99
State of Decay 2: Juggernaut Edition,https://cdn.akamai.steamstatic.com/steam/apps/495420/header.jpg?t=1695074069,"['Survival', 'Open World', 'Zombies', 'Base Building', 'Multiplayer']",2020-00-13,Very Positive,39064,$,29.99,7.5
Planet Zoo,https://cdn.akamai.steamstatic.com/steam/apps/703080/header_alt_assets_1.jpg?t=1695117862,"['Management', 'Simulation', 'Building', 'Sandbox', 'Nature']",2019-00-05,Very Positive,60555,$,44.99,13.49
Sekiro™: Shadows Die Twice - GOTY Edition,https://cdn.akamai.steamstatic.com/steam/apps/814380/header.jpg?t=1678991267,"['Souls-like', 'Difficult', 'Action', 'Singleplayer', 'Ninja']",2019-00-21,Overwhelmingly Positive,178210,$,59.99,29.99
Call of Duty®: Black Ops III,https://cdn.akamai.steamstatic.com/steam/apps/311210/header.jpg?t=1646763462,"['Multiplayer', 'FPS', 'Zombies', 'Shooter', 'Action']",2015-00-06,Very Positive,110317,$,59.99,19.79
FINAL FANTASY VII REMAKE INTERGRADE,https://cdn.akamai.steamstatic.com/steam/apps/1462040/header.jpg?t=1663767129,"['RPG', 'Action RPG', 'JRPG', 'Action-Adventure', 'Singleplayer']",2022-00-17,Very Positive,15377,$,69.99,39.89
Cities: Skylines,https://cdn.akamai.steamstatic.com/steam/apps/255710/header.jpg?t=1692879552,"['City Builder', 'Simulation', 'Building', 'Management', 'Strategy']",2015-00-10,Very Positive,179831,$,29.99,5.99
